Customer_No,Purchase,Dollars_Spent,Yearly_Income,Home_Value,Order_Frequency,Recency,Married,Name_Prefix,Age,Telemarket_Ind.,Rents_Apartment,Occupied_<1 yr,Domestic_Prod,Apparel_Purch,Leisure_Prod,Kitchen_Prod,Luxury_Items,Promo_1-7_mon,Promo_8-13_mon,County_Code,Total_Returns,Mens_Apparel,Flatware_Purch,Dishes_Purch,Home_Furniture,Lamps_Purch,Linens_Purch,Blankets_Purch,Towels_Purch,Outdoor_Prod,Coats_Purch,Ladies_Coats,Ladies_Apparel,His_Her_Apparel,Jewelry_Purch,Date_1st_Order,Telemarket_Ord,Account_Number,State_Code,Race,Heating_Type,Number_of_Cars,Number_of_Kids,Travel_Time,Education_Level,Job_Category,$_Value_per_Mailing,Total_Dining_kitch_dish_flat,Sex
1,1,740,56000,215600,1.23,0,0,Ms,31,1,0,0,4,1,4,4,0,68,47,9,-999,1,2,1,1,0,0,1,3,1,0,0,3,0,1,16/02/1999,0,1011070495,MA,1,1,2,0,22,3,15,6.434782609,7,female
2,0,333,35600,155500,3.62,4,1,Mrs,25,1,0,0,1,2,1,2,0,80,65,23,56,3,1,2,9,0,7,0,9,5,1,3,14,0,9,18/01/1999,0,1011148523,MA,1,2,1,0,30,3,1,2.296551724,5,female
3,0,208,33700,82100,1.32,2,1,Mr,36,1,0,0,3,0,0,1,0,23,27,11,5,2,1,0,0,0,2,0,9,1,1,1,11,4,0,14/03/1999,1,1013165012,ME,1,3,2,0,29,3,14,4.16,2,male
4,1,1840,51300,197200,7.28,0,0,Mrs,41,1,0,1,7,9,5,3,0,95,63,3,22,6,2,1,10,7,4,4,10,12,8,4,38,12,7,20/02/1999,0,1013918584,CT,1,3,2,0,14,3,1,11.64556962,6,female
5,0,325,53000,147800,0.26,71,1,Ms,26,1,0,0,0,2,1,3,0,48,6,3,-999,0,2,0,0,0,0,0,0,0,0,0,0,0,2,02/02/1999,0,1014013369,CT,2,3,2,1,19,3,1,6.018518519,5,female
6,1,0,49900,133000,5.7,559,1,Mrs,25,1,0,0,0,0,0,0,0,80,61,13,6,1,1,1,12,0,4,1,8,7,2,6,18,1,5,25/12/1998,0,1014868390,NJ,2,3,1,0,22,3,1,0,2,female
7,1,44,41400,108400,1.33,80,1,Ms,26,1,0,0,0,1,0,0,0,41,46,7,0,0,1,0,1,0,3,0,2,0,1,4,3,5,2,26/01/1999,0,1016390120,NJ,1,2,1,0,22,3,15,0.505747126,1,female
8,1,352,74100,189500,0.52,149,0,Ms,36,1,0,0,0,0,0,4,0,58,44,35,-999,0,0,1,0,0,0,0,2,0,0,1,4,0,0,30/01/1999,0,1017474790,NJ,1,2,2,0,23,3,11,3.450980392,5,female
9,1,1518,31500,164500,2.14,208,1,Mrs,30,1,0,0,6,2,2,1,1,11,3,85,37,1,2,2,6,0,5,1,2,2,2,3,22,1,5,28/02/1999,0,1017963818,NY,1,2,1,0,34,2,1,108.4285714,5,female
10,0,524,26300,154400,2.31,131,0,Ms,27,1,0,0,4,1,0,1,0,50,0,5,2,2,0,0,6,1,8,2,7,6,5,2,3,0,3,13/03/1999,0,1018094720,NY,2,3,1,0,33,2,10,10.48,1,female
11,1,0,0,0,1.08,615,1,Ms,41,1,0,0,0,0,0,0,0,1,0,5,0,2,0,0,0,0,1,0,5,0,1,1,4,0,0,02/02/1999,0,1018173318,NY,1,1,0,0,90,1,1,0,0,female
12,0,0,46700,135100,0.79,364,1,Mrs,30,1,0,0,0,0,0,0,0,15,12,103,7,4,2,0,0,0,2,2,0,1,1,1,0,0,1,28/01/1999,0,1018214146,NY,1,3,2,6,21,3,11,0,2,female
13,0,0,54200,158600,1.34,563,1,Mr,32,1,0,0,0,0,0,0,0,20,0,5,-999,0,1,2,4,0,3,1,3,2,1,0,0,1,1,10/02/1999,0,1018314516,NY,2,2,1,1,33,3,1,0,3,male
14,0,177,24200,91500,3.47,50,0,Ms,25,1,0,0,3,0,0,0,0,63,44,59,10,6,0,0,6,2,13,2,4,2,2,8,22,2,0,05/01/1999,0,1019547932,CO,1,2,1,0,20,3,1,1.654205608,0,female
15,1,0,43200,265000,0.51,369,0,Ms,33,1,0,0,0,0,0,0,0,12,17,103,7,0,3,1,0,0,0,1,2,0,1,0,0,0,0,07/02/1999,0,1019974110,NY,1,3,2,0,10,3,16,0,4,female
